Antecedent_decoded,Consequent_decoded,Support,Confidence,Lift
"('American (Traditional)', 'Breakfast & Brunch')","('American (New)',)",0.03582455656226525,0.5481071445325327,2.14980102526142
"('American (New)', 'American (Traditional)')","('Breakfast & Brunch',)",0.03582455656226525,0.42388622841387313,2.1478812082038785
"('American (Traditional)', 'Mexican')","('American (New)',)",0.03357708994465652,0.5473310675729708,2.146757074712717
"('American (Traditional)', 'Seafood')","('American (New)',)",0.028692759355501387,0.5433747532226222,2.131239508974927
"('American (New)', 'Breakfast & Brunch')","('American (Traditional)',)",0.03582455656226525,0.516123332449863,2.115854598110293
"('Gastropubs',)","('American (New)',)",0.024338867681552682,0.49154746423927176,1.9279610804699443
"('Breweries',)","('American (Traditional)',)",0.021229821091845652,0.4386442825467216,1.7982281827017172
"('Breweries',)","('American (New)',)",0.022137392877401157,0.4573962622743111,1.7940122901092588
"('Ice Cream & Frozen Yogurt',)","('American (Traditional)',)",0.025715555964371674,0.42099186828631663,1.725861871139444
"('Gastropubs',)","('American (Traditional)',)",0.020589001824341934,0.41581522075670324,1.704640134415513
"('Ice Cream & Frozen Yogurt',)","('American (New)',)",0.02602523417498352,0.4260616403975504,1.671110768191876
"('Steakhouses',)","('American (Traditional)',)",0.030143034539851905,0.4060550989219776,1.664628382642739
"('Specialty Food',)","('American (Traditional)',)",0.027742261877385824,0.40170484816196056,1.646794470678666
"('Specialty Food',)","('American (New)',)",0.028876726609330206,0.4181317705558515,1.6400080130354668
"('Bakeries',)","('American (New)',)",0.028665164267427063,0.41643652561247213,1.6333588763589975
"('Steakhouses',)","('American (New)',)",0.02997746401140597,0.4038247077774565,1.5838924550897566
