Antecedent,Consequent,Support,Confidence,Lift,Antecedent_decoded,Consequent_decoded
"(np.int64(3), np.int64(122), np.int64(151))","(np.int64(18),)",0.011037824740880334,0.5597269624573379,3.1937109094435967,"('American (New)', 'Mexican', 'Sandwiches')","('Breakfast & Brunch',)"
"(np.int64(67), np.int64(151))","(np.int64(24),)",0.011051285502759457,0.4548476454293629,3.1929161465508242,"('Fast Food', 'Sandwiches')","('Burgers',)"
"(np.int64(3), np.int64(4), np.int64(122))","(np.int64(151),)",0.014685691210122493,0.4618966977138019,3.190841144984038,"('American (New)', 'American (Traditional)', 'Mexican')","('Sandwiches',)"
"(np.int64(3), np.int64(24), np.int64(122))","(np.int64(18),)",0.010580158836990174,0.5590327169274538,3.189749657491593,"('American (New)', 'Burgers', 'Mexican')","('Breakfast & Brunch',)"
"(np.int64(4), np.int64(122), np.int64(154))","(np.int64(138),)",0.010876295598330865,0.5169545745361485,3.1865711369308385,"('American (Traditional)', 'Mexican', 'Seafood')","('Pizza',)"
"(np.int64(4), np.int64(24), np.int64(104))","(np.int64(18),)",0.01010903217122089,0.5583643122676579,3.1859358493367362,"('American (Traditional)', 'Burgers', 'Italian')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(4), np.int64(154))","(np.int64(24),)",0.011953156548660655,0.45213849287169044,3.1738985765319745,"('American (New)', 'American (Traditional)', 'Seafood')","('Burgers',)"
"(np.int64(3), np.int64(4), np.int64(154))","(np.int64(151),)",0.012141607214968366,0.4592668024439918,3.1726734939152084,"('American (New)', 'American (Traditional)', 'Seafood')","('Sandwiches',)"
"(np.int64(67), np.int64(138))","(np.int64(24),)",0.011953156548660655,0.4519083969465649,3.1722833609713983,"('Fast Food', 'Pizza')","('Burgers',)"
"(np.int64(3), np.int64(18), np.int64(122))","(np.int64(138),)",0.011266657692825414,0.5134969325153375,3.1652578092071373,"('American (New)', 'Breakfast & Brunch', 'Mexican')","('Pizza',)"
"(np.int64(3), np.int64(104), np.int64(138))","(np.int64(18),)",0.010472472741957195,0.5529495380241649,3.1550400291716754,"('American (New)', 'Italian', 'Pizza')","('Breakfast & Brunch',)"
"(np.int64(4), np.int64(24), np.int64(122))","(np.int64(104),)",0.010310943599407726,0.4578601315002988,3.148318138574343,"('American (Traditional)', 'Burgers', 'Mexican')","('Italian',)"
"(np.int64(4), np.int64(104), np.int64(151))","(np.int64(18),)",0.010714766455781398,0.5516285516285516,3.1475026958897927,"('American (Traditional)', 'Italian', 'Sandwiches')","('Breakfast & Brunch',)"
"(np.int64(4), np.int64(24), np.int64(151))","(np.int64(18),)",0.010983981693363844,0.5513513513513514,3.145921036243617,"('American (Traditional)', 'Burgers', 'Sandwiches')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(4), np.int64(104))","(np.int64(138),)",0.014201103782474089,0.5074555074555075,3.1280177272543686,"('American (New)', 'American (Traditional)', 'Italian')","('Pizza',)"
"(np.int64(4), np.int64(18), np.int64(122))","(np.int64(138),)",0.01255889083322116,0.5070652173913043,3.1256119316296043,"('American (Traditional)', 'Breakfast & Brunch', 'Mexican')","('Pizza',)"
"(np.int64(3), np.int64(104), np.int64(122))","(np.int64(18),)",0.011010903217122088,0.5475234270414993,3.1240795234188155,"('American (New)', 'Italian', 'Mexican')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(4), np.int64(24))","(np.int64(104),)",0.011953156548660655,0.4542199488491049,3.123287671232877,"('American (New)', 'American (Traditional)', 'Burgers')","('Italian',)"
"(np.int64(4), np.int64(122), np.int64(151))","(np.int64(18),)",0.012101224929331,0.5468369829683698,3.1201627853087706,"('American (Traditional)', 'Mexican', 'Sandwiches')","('Breakfast & Brunch',)"
"(np.int64(104), np.int64(122), np.int64(151))","(np.int64(3),)",0.010176335980616503,0.7172675521821631,3.1005356948453913,"('Italian', 'Mexican', 'Sandwiches')","('American (New)',)"
"(np.int64(3), np.int64(4), np.int64(122))","(np.int64(24),)",0.01403957463992462,0.4415749364944962,3.0997450658769843,"('American (New)', 'American (Traditional)', 'Mexican')","('Burgers',)"
"(np.int64(3), np.int64(138), np.int64(151))","(np.int64(18),)",0.010284022075649482,0.5418439716312057,3.0916734756130775,"('American (New)', 'Pizza', 'Sandwiches')","('Breakfast & Brunch',)"
"(np.int64(83), np.int64(122))","(np.int64(24),)",0.010459011980078073,0.4394796380090498,3.0850365971550895,"('Grocery', 'Mexican')","('Burgers',)"
"(np.int64(4), np.int64(24), np.int64(122))","(np.int64(18),)",0.012168528738726613,0.5403466826060969,3.0831301882340196,"('American (Traditional)', 'Burgers', 'Mexican')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(138), np.int64(151))","(np.int64(122),)",0.01113205007403419,0.5865248226950354,3.080011951510156,"('American (New)', 'Pizza', 'Sandwiches')","('Mexican',)"
"(np.int64(3), np.int64(24), np.int64(138))","(np.int64(122),)",0.010553237313231928,0.5863874345549738,3.079290486540539,"('American (New)', 'Burgers', 'Pizza')","('Mexican',)"
"(np.int64(3), np.int64(122), np.int64(138))","(np.int64(18),)",0.011266657692825414,0.539651837524178,3.0791655153357285,"('American (New)', 'Mexican', 'Pizza')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(18), np.int64(151))","(np.int64(122),)",0.011037824740880334,0.5857142857142857,3.0757555867473165,"('American (New)', 'Breakfast & Brunch', 'Sandwiches')","('Mexican',)"
"(np.int64(4), np.int64(18), np.int64(154))","(np.int64(138),)",0.010055189123704402,0.4976682211858761,3.067687699294618,"('American (Traditional)', 'Breakfast & Brunch', 'Seafood')","('Pizza',)"
"(np.int64(18), np.int64(104), np.int64(122))","(np.int64(3),)",0.011010903217122088,0.708838821490468,3.064100782528038,"('Breakfast & Brunch', 'Italian', 'Mexican')","('American (New)',)"
"(np.int64(3), np.int64(67))","(np.int64(24),)",0.01238390092879257,0.4364326375711575,3.0636474199339783,"('American (New)', 'Fast Food')","('Burgers',)"
"(np.int64(4), np.int64(104), np.int64(122))","(np.int64(154),)",0.010485933503836318,0.4726941747572816,3.062926318597335,"('American (Traditional)', 'Italian', 'Mexican')","('Seafood',)"
"(np.int64(3), np.int64(104), np.int64(151))","(np.int64(122),)",0.010176335980616503,0.581986143187067,3.056178029078052,"('American (New)', 'Italian', 'Sandwiches')","('Mexican',)"
"(np.int64(4), np.int64(18), np.int64(43))","(np.int64(122),)",0.010149414456858259,0.5813415574402467,3.052793122374774,"('American (Traditional)', 'Breakfast & Brunch', 'Coffee & Tea')","('Mexican',)"
"(np.int64(4), np.int64(104), np.int64(138))","(np.int64(154),)",0.010001346076187911,0.4696586599241466,3.0432570297221853,"('American (Traditional)', 'Italian', 'Pizza')","('Seafood',)"
"(np.int64(3), np.int64(18), np.int64(24))","(np.int64(122),)",0.010580158836990174,0.5792188651436994,3.041646249489321,"('American (New)', 'Breakfast & Brunch', 'Burgers')","('Mexican',)"
"(np.int64(3), np.int64(4), np.int64(40))","(np.int64(122),)",0.010983981693363844,0.5791341376863023,3.0412013210373505,"('American (New)', 'American (Traditional)', 'Chinese')","('Mexican',)"
"(np.int64(4), np.int64(138), np.int64(151))","(np.int64(18),)",0.011360883025979271,0.5324921135646689,3.038313296214996,"('American (Traditional)', 'Pizza', 'Sandwiches')","('Breakfast & Brunch',)"
"(np.int64(18), np.int64(104), np.int64(138))","(np.int64(3),)",0.010472472741957195,0.7015329125338143,3.032519496807696,"('Breakfast & Brunch', 'Italian', 'Pizza')","('American (New)',)"
"(np.int64(4), np.int64(104), np.int64(122))","(np.int64(18),)",0.011778166644232063,0.5309466019417476,3.029494858544733,"('American (Traditional)', 'Italian', 'Mexican')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(83))","(np.int64(151),)",0.01118589312155068,0.43852242744063324,3.029368712531583,"('American (New)', 'Grocery')","('Sandwiches',)"
"(np.int64(3), np.int64(83))","(np.int64(24),)",0.010983981693363844,0.43060686015831134,3.0227519267845557,"('American (New)', 'Grocery')","('Burgers',)"
"(np.int64(3), np.int64(4), np.int64(40))","(np.int64(18),)",0.010028267599946157,0.5287437899219305,3.0169259718356543,"('American (New)', 'American (Traditional)', 'Chinese')","('Breakfast & Brunch',)"
